Compressor_field, absolute_error, relative_error, mse, Compression Throughput, DeCompression Throughput, Compression Ratio
BLOSC_x, 0, 0, 0, 396.267, 2249.76, 1.80091
BLOSC_y, 0, 0, 0, 396.677, 2220.6, 1.86599
BLOSC_z, 0, 0, 0, 374.007, 1934.07, 1.89842
BLOSC_vx, 0, 0, 0, 223.63, 1071.72, 1.16082
BLOSC_vy, 0, 0, 0, 227.175, 1109.65, 1.17503
BLOSC_vz, 0, 0, 0, 218.978, 1043.13, 1.17598
BigCrunch_x, 0.125, 0.000976562, 0.00287192, 3.57735, 76.985, 14.3136
BigCrunch_y, 0.125, 0.000976562, 0.00328473, 2.7623, 75.4096, 16.9896
BigCrunch_z, 0.125, 0.000976562, 0.00505583, 1.96706, 68.3707, 17.0182
BigCrunch_vx, 2, 0.000976562, 0.0134597, 3.37199, 37.5857, 2.7903
BigCrunch_vy, 2, 0.000976562, 0.0171536, 3.3649, 38.8641, 2.85924
BigCrunch_vz, 2, 0.000976562, 0.019355, 3.41231, 38.3937, 2.86258
SZ_x, 0.255783, 0.000999535, 0.00719779, 40.3987, 97.4182, 16.9143
SZ_y, 0.255798, 0.000999538, 0.0116952, 40.4447, 96.2603, 24.4162
SZ_z, 0.255798, 0.000999542, 0.0150836, 38.263, 86.3429, 23.8574
SZ_vx, 3.46338, 0.000999042, 0.0258934, 34.2059, 26.469, 2.89794
SZ_vy, 3.47144, 0.0009992, 0.0331772, 34.6239, 26.9229, 2.97365
SZ_vz, 3.76123, 0.000999048, 0.0373793, 34.0792, 26.4562, 2.98587
